iter	Passed	Remaining
401	18153	27004
402	18188	26944
403	18226	26888
404	18273	26846
405	18310	26789
406	18357	26746
407	18398	26695
408	18440	26645
409	18476	26588
410	18524	26547
411	18567	26498
412	18611	26452
413	18653	26402
414	18709	26373
415	18749	26321
416	18806	26293
417	18852	26248
418	18904	26213
419	18958	26180
420	18999	26130
421	19038	26076
422	19076	26021
423	19119	25973
424	19169	25935
425	19217	25893
426	19258	25843
427	19304	25799
428	19343	25746
429	19376	25684
430	19409	25624
431	19464	25592
432	19505	25541
433	19542	25486
434	19594	25449
435	19645	25413
436	19685	25362
437	19736	25323
438	19785	25283
439	19834	25243
440	19877	25196
441	19940	25173
442	19988	25132
443	20039	25094
444	20086	25051
445	20127	25000
446	20163	24945
447	20212	24904
448	20261	24864
449	20322	24838
450	20367	24792
451	20416	24753
452	20454	24699
453	20500	24654
454	20542	24605
455	20579	24551
456	20620	24500
457	20679	24472
458	20737	24441
459	20808	24427
460	20883	24416
461	20967	24416
462	21040	24402
463	21112	24388
464	21151	24336
465	21214	24309
466	21315	24328
467	21374	24297
468	21433	24267
469	21497	24241
470	21549	24203
471	21592	24154
472	21639	24109
473	21683	24061
474	21738	24026
475	21790	23988
476	21839	23945
477	21891	23906
478	21935	23858
479	21983	23815
480	22027	23767
481	22068	23716
482	22114	23671
483	22172	23638
484	22227	23601
485	22271	23554
486	22311	23502
487	22354	23453
488	22391	23399
489	22425	23341
490	22471	23295
491	22534	23267
492	22591	23232
493	22640	23190
494	22682	23141
495	22731	23097
496	22771	23046
497	22807	22990
498	22889	22981
499	22944	22944
500	22998	22906
501	23076	22892
502	23118	22842
503	23183	22815
504	23243	22782
505	23306	22754
506	23353	22708
507	23411	22674
508	23446	22617
509	23493	22571
510	23522	22510
511	23565	22461
512	23612	22415
513	23682	22392
514	23735	22352
515	23791	22315
516	23849	22281
517	23904	22243
518	23947	22194
519	23983	22138
520	24037	22099
521	24074	22044
522	24138	22015
523	24188	21973
524	24230	21922
525	24283	21882
526	24330	21837
527	24375	21790
528	24437	21757
529	24494	21721
530	24558	21691
531	24602	21643
532	24651	21599
533	24741	21590
534	24792	21548
535	24840	21503
536	24878	21450
537	24926	21404
538	24974	21360
539	25001	21297
540	25040	21245
541	25090	21201
542	25151	21168
543	25204	21127
544	25253	21083
545	25296	21034
546	25354	20997
547	25394	20945
548	25438	20897
549	25484	20851
550	25529	20803
551	25582	20762
552	25635	20721
553	25682	20675
554	25786	20675
555	25839	20634
556	25882	20584
557	25916	20528
558	25966	20485
559	26024	20448
560	26071	20401
561	26106	20346
562	26157	20303
563	26199	20253
564	26243	20204
565	26299	20165
566	26343	20118
567	26389	20070
568	26430	20020
569	26473	19970
570	26507	19915
571	26553	19868
572	26589	19814
573	26623	19758
574	26663	19707
575	26703	19656
576	26746	19607
577	26792	19561
578	26835	19512
579	26871	19458
580	26921	19415
581	26975	19374
582	27029	19333
583	27083	19292
584	27118	19237
585	27174	19198
586	27241	19166
587	27287	19119
588	27336	19075
589	27379	19026
590	27417	18974
591	27465	18928
592	27526	18892
593	27592	18859
594	27652	18822
595	27714	18786
596	27770	18746
597	27829	18707
598	27880	18664
599	27933	18622
600	27970	18569
601	28005	18515
602	28050	18467
603	28097	18421
604	28137	18370
605	28167	18313
606	28214	18267
607	28298	18244
608	28353	18203
609	28416	18168
610	28452	18114
611	28519	18080
612	28597	18054
613	28667	18022
614	28717	17977
615	28760	17928
616	28797	17875
617	28821	17815
618	28908	17793
619	28961	17750
620	29012	17706
621	29070	17666
622	29118	17620
623	29154	17567
624	29198	17519
625	29244	17471
626	29292	17425
627	29340	17380
628	29401	17341
629	29450	17296
630	29505	17254
631	29549	17205
632	29592	17156
633	29625	17102
634	29681	17060
635	29711	17004
636	29750	16953
637	29807	16912
638	29861	16870
639	29919	16829
640	29954	16776
641	29998	16728
642	30041	16679
643	30081	16629
644	30137	16587
645	30182	16539
646	30226	16491
647	30263	16439
648	30307	16391
649	30353	16344
650	30385	16289
651	30423	16238
652	30459	16186
653	30508	16140
654	30567	16100
655	30620	16057
656	30685	16019
657	30735	15974
658	30778	15926
659	30818	15876
660	30847	15820
661	30905	15779
662	30933	15723
663	30972	15672
664	31018	15625
665	31087	15590
666	31143	15548
667	31181	15497
668	31224	15448
669	31266	15399
670	31312	15352
671	31362	15308
672	31409	15261
673	31444	15208
674	31484	15159
675	31529	15111
676	31620	15086
677	31668	15040
678	31709	14990
679	31755	14943
680	31802	14897
681	31833	14843
682	31875	14794
683	31918	14745
684	31961	14697
685	31998	14646
686	32044	14599
687	32071	14544
688	32127	14501
689	32168	14452
690	32204	14401
691	32237	14348
692	32276	14298
693	32326	14253
694	32370	14205
695	32405	14154
696	32512	14133
697	32581	14096
698	32638	14054
699	32710	14018
700	32762	13974
701	32835	13938
702	32894	13897
703	32991	13871
704	33042	13826
705	33087	13778
706	33145	13736
707	33198	13691
708	33245	13644
709	33292	13598
710	33339	13551
711	33384	13503
712	33435	13458
713	33492	13415
714	33546	13371
715	33593	13324
716	33650	13281
717	33713	13241
718	33769	13197
719	33828	13155
720	33881	13110
721	33935	13066
722	33992	13023
723	34037	12975
724	34084	12928
725	34120	12877
726	34159	12827
727	34190	12774
728	34246	12730
729	34305	12688
730	34351	12641
731	34386	12589
732	34428	12540
733	34476	12494
734	34533	12450
735	34595	12409
736	34652	12365
737	34712	12323
738	34775	12281
739	34813	12231
740	34870	12188
741	34916	12140
742	35001	12106
743	35025	12051
744	35070	12003
745	35115	11956
746	35165	11910
747	35197	11857
748	35255	11814
749	35300	11766
750	35344	11718
751	35387	11670
752	35424	11620
753	35493	11580
754	35561	11539
755	35621	11496
756	35741	11473
757	35775	11421
758	35825	11375
759	35865	11326
760	35911	11278
761	35959	11231
762	36009	11185
763	36064	11140
764	36101	11089
765	36133	11038
766	36177	10989
767	36216	10940
768	36282	10898
769	36336	10853
770	36384	10806
771	36434	10760
772	36540	10730
773	36584	10682
774	36604	10627
775	36672	10585
776	36710	10535
777	36752	10487
778	36794	10438
779	36833	10388
780	36876	10340
781	36960	10303
782	37016	10258
783	37058	10209
784	37130	10169
785	37182	10123
786	37234	10077
787	37270	10027
788	37311	9978
789	37366	9932
790	37409	9884
791	37467	9839
792	37531	9797
793	37601	9755
794	37634	9704
795	37689	9659
796	37736	9611
797	37786	9564
798	37838	9518
799	37883	9470
800	37927	9422
801	37987	9378
802	38048	9334
803	38115	9291
804	38162	9244
