iter	RMSE
597	1.865859269
598	1.865323547
599	1.864558387
600	1.864098817
601	1.863794639
602	1.863418862
603	1.862930641
604	1.862587554
605	1.862145806
606	1.861777098
607	1.86095157
608	1.860415508
609	1.86005677
610	1.859539545
611	1.859327942
612	1.858690038
613	1.858312061
614	1.857918398
615	1.857608608
616	1.857027281
617	1.856753956
618	1.856271118
619	1.855711074
620	1.85525057
621	1.854764983
622	1.854368112
623	1.853508373
624	1.853211284
625	1.852981621
626	1.852019544
627	1.851686518
628	1.851334074
629	1.851009316
630	1.850379935
631	1.849880621
632	1.849538129
633	1.84910641
634	1.848838358
635	1.8481188
636	1.847660452
637	1.847057494
638	1.846724151
639	1.846257574
640	1.845930317
641	1.845608122
642	1.845226832
643	1.844892477
644	1.844642696
645	1.844225025
646	1.843309577
647	1.843014495
648	1.842592449
649	1.842247497
650	1.841722098
651	1.841592021
652	1.840979772
653	1.840559508
654	1.840136296
655	1.83966859
656	1.839367138
657	1.839068902
658	1.838527079
659	1.838229602
660	1.837889916
661	1.83709181
662	1.836836424
663	1.836460339
664	1.836092576
665	1.835505319
666	1.834992163
667	1.834388682
668	1.833694602
669	1.833405994
670	1.83289216
671	1.832605003
672	1.832295279
673	1.832156237
674	1.831764746
675	1.831638911
676	1.831269375
677	1.830973947
678	1.830594464
679	1.830346237
680	1.830047969
681	1.829760289
682	1.829299631
683	1.82896319
684	1.828564609
685	1.827673582
686	1.827226611
687	1.827000878
688	1.826508891
689	1.826144108
690	1.825839774
691	1.825561856
692	1.825106967
693	1.82487056
694	1.824683547
695	1.82424118
696	1.823757351
697	1.823350671
698	1.822887432
699	1.822487768
700	1.822001539
701	1.821557444
702	1.821250658
703	1.820829432
704	1.820605667
705	1.820248244
706	1.819989284
707	1.819622356
708	1.819113587
709	1.818781272
710	1.818213795
711	1.818090715
712	1.817771441
713	1.81742982
714	1.81724574
715	1.816977928
716	1.81670254
717	1.816300846
718	1.815936631
719	1.815728154
720	1.815292081
721	1.814817085
722	1.814344902
723	1.814138406
724	1.813642498
725	1.813157346
726	1.812711527
727	1.812376754
728	1.81206529
729	1.811860048
730	1.81133652
731	1.81107248
732	1.81089332
733	1.810601652
734	1.809886256
735	1.809543635
736	1.809119074
737	1.808827885
738	1.808652626
739	1.808412553
740	1.80805545
741	1.807800225
742	1.807453839
743	1.807226464
744	1.806643461
745	1.806323487
746	1.806016389
747	1.805832559
748	1.805285724
749	1.805053164
750	1.804701282
751	1.804320177
752	1.803933504
753	1.803533257
754	1.803336234
755	1.802875737
756	1.802455091
757	1.802301718
758	1.801975537
759	1.801724147
760	1.80118201
761	1.800683221
762	1.8003441
763	1.800034004
764	1.799689192
765	1.799398984
766	1.799059506
767	1.798684572
768	1.798414627
769	1.798183537
770	1.797884944
771	1.797386239
772	1.79706904
773	1.796709142
774	1.796334374
775	1.795940746
776	1.79565776
777	1.795436127
778	1.795163432
779	1.794972157
780	1.794085856
781	1.793694092
782	1.793353677
783	1.792902622
784	1.792371614
785	1.791717395
786	1.791428552
787	1.791119663
788	1.790415824
789	1.790193184
790	1.789896486
791	1.789672611
792	1.789053937
793	1.788811745
794	1.788457075
795	1.788083179
796	1.787573084
797	1.787217627
798	1.786868547
799	1.786547433
800	1.786078749
801	1.785626826
802	1.785418032
803	1.785163607
804	1.784889989
805	1.784574296
806	1.784384056
807	1.783879076
808	1.783680455
809	1.783426601
810	1.783359123
811	1.783035749
812	1.78279543
813	1.78245109
814	1.782276472
815	1.781877535
816	1.781599734
817	1.781237555
818	1.780824246
819	1.780431009
820	1.780052989
821	1.779662197
822	1.779238944
823	1.77880131
824	1.778314992
825	1.778034545
826	1.777751668
827	1.777364371
828	1.777086157
829	1.776839277
830	1.776572479
831	1.776351081
832	1.775812841
833	1.775471066
834	1.774855866
835	1.774528151
836	1.774044512
837	1.773695081
838	1.773219877
839	1.772859737
840	1.772370735
841	1.771977097
842	1.770698623
843	1.77045456
844	1.770146626
845	1.769699229
846	1.769356387
847	1.769055052
848	1.768605738
849	1.768296721
850	1.767950945
851	1.767641776
852	1.76743374
853	1.767186165
854	1.766814739
855	1.766566875
856	1.766110325
857	1.765894608
858	1.765471237
859	1.765364825
860	1.765052771
861	1.764742402
862	1.764488379
863	1.764035538
864	1.763636041
865	1.763287115
866	1.762931108
867	1.762631167
868	1.761544567
869	1.761198464
870	1.76098925
871	1.760723095
872	1.760253676
873	1.759921832
874	1.759160441
875	1.758826602
876	1.758644642
877	1.758462053
878	1.758116128
879	1.757679884
880	1.757286766
881	1.756908386
882	1.756704673
883	1.756553994
884	1.756314434
885	1.755795586
886	1.755542506
887	1.75514457
888	1.75507901
889	1.754750966
890	1.754245249
891	1.754014725
892	1.753728363
893	1.75320936
894	1.752823701
895	1.752448782
896	1.752119598
897	1.751915357
898	1.751486187
899	1.751306944
900	1.750657111
901	1.750284026
902	1.749977604
903	1.749638216
904	1.74919418
905	1.748938717
906	1.748566366
907	1.748355583
908	1.748082946
909	1.747782495
910	1.747524231
911	1.747248832
912	1.74684543
913	1.746711375
914	1.746367142
915	1.746030763
916	1.745676064
917	1.745429581
918	1.74519494
919	1.74491597
920	1.744740694
921	1.744509645
922	1.744228652
923	1.743873965
924	1.743692879
925	1.743433424
926	1.743021535
927	1.742555377
928	1.742295737
929	1.741982581
930	1.741842435
931	1.74151501
932	1.741258859
933	1.741017436
934	1.740743747
935	1.740603971
936	1.740330876
937	1.740088897
938	1.739829775
939	1.739610701
940	1.739376404
941	1.738925347
942	1.73878127
943	1.738652689
944	1.738267404
945	1.738027521
946	1.737163713
947	1.736902075
948	1.736710289
949	1.736509804
950	1.736235164
951	1.736062265
952	1.735814286
953	1.735608875
954	1.735230807
955	1.735057133
956	1.734649492
957	1.734491609
958	1.734192628
959	1.733529731
960	1.733175081
961	1.732706523
962	1.73243498
963	1.732134078
964	1.7318513
965	1.731529076
966	1.731326176
967	1.731090354
968	1.730789636
969	1.730471743
970	1.730164994
971	1.72991622
972	1.729686509
973	1.729393327
974	1.72891351
975	1.728679426
976	1.72810318
977	1.727910069
978	1.72762366
979	1.727406978
980	1.727001014
981	1.726538714
982	1.72625983
983	1.726088212
984	1.72559382
985	1.725320915
986	1.725067204
987	1.724759036
988	1.724343536
989	1.724048344
990	1.723755576
991	1.723384722
992	1.723091117
993	1.72281172
994	1.722666381
995	1.722491497
996	1.722164494
997	1.721993956
998	1.721702593
999	1.721492893
98	1.716123697
999	1.715734128
51
